"","ID","n","leaf_area"
"1","ABW7956",5,0.34
"2","ABX9479",5,0.35
"3","ABY1693",4,0.23
"4","ABZ2899",6,0.33
"5","ACA3144",5,0.35
"6","ACB2306",5,0.4
"7","ACC9116",5,0.46
"8","ACD6281",5,0.3
"9","ACE6166",5,0.47
"10","ACF0339",5,0.41
"11","ACG3403",5,0.39
"12","ACI2672",5,0.37
"13","ACJ2997",5,0.39
"14","ACK6912",5,0.43
"15","ACL3808",5,0.25
"16","ACM1786",5,0.22
"17","ACN3446",5,0.3
"18","ACO2643",5,0.22
"19","ACP5827",5,0.21
"20","ACQ4604",5,0.24
"21","ACR3253",5,0.27
"22","ACS1800",5,0.28
"23","ACT7431",5,0.28
"24","ACU0708",5,0.32
"25","ACV7531",5,0.4
"26","ACW1212",6,0.52
"27","ACX8679",5,0.44
"28","ACY4334",5,0.52
"29","ACZ0597",5,0.42
"30","ADA4600",5,0.24
"31","ADB0317",5,0.3
"32","ADC5721",5,0.34
"33","ADD3819",6,0.28
"34","ADE6238",6,0.35
"35","ADF1499",5,0.4
"36","ADG4733",5,0.35
"37","ADH6103",5,0.35
"38","ADI6283",5,0.33
"39","ADJ3376",5,0.38
"40","ADK1104",5,0.49
"41","ADL9066",5,0.48
"42","ADM5239",5,0.46
"43","ADN6552",5,0.47
"44","ADO5765",5,0.42
"45","ADP5848",5,0.3
"46","ADQ9643",5,0.33
"47","ADS4128",5,0.32
"48","ADT3849",5,0.3
"49","ADU2120",5,0.4
"50","ADV4723",5,0.37
"51","ADW1266",5,0.4
"52","ADX6829",5,0.38
"53","ADY1918",5,0.41
"54","ADZ4131",5,0.39
"55","AEA7611",5,0.37
"56","AEB4051",5,0.34
"57","AEC5055",5,0.41
"58","AED7578",5,0.3
"59","AEE1185",5,0.32
"60","AEF6243",5,0.35
"61","AEG4970",5,0.34
"62","AEH2381",5,0.32
"63","AEI2839",5,0.28
"64","AEJ4099",5,0.25
"65","AEK3542",5,0.21
"66","AEL2099",5,0.27
"67","AEM4267",4,0.24
"68","AEN2497",5,0.22
"69","AEO8418",5,0.43
"70","AEP2902",5,0.43
"71","AEQ2637",5,0.42
"72","AER1617",5,0.34
"73","AES2892",5,0.31
"74","AGY2777",5,0.32
"75","AGZ5517",5,0.38
"76","AHA3180",5,0.35
"77","AHB5756",5,0.37
"78","AHC6643",5,0.38
"79","AHD2890",5,0.45
"80","AHE9321",5,0.44
"81","AHF6581",5,0.44
"82","AHG5829",5,0.44
"83","AHH4009",5,0.49
"84","AHI2543",5,0.32
"85","AHJ5329",5,0.3
"86","AHK0576",5,0.36
"87","AHL0118",5,0.41
"88","AHM1170",5,0.31
"89","AHN5830",5,0.34
"90","AHO3573",5,0.38
"91","AHP0080",5,0.39
"92","AHQ0180",5,0.43
"93","AHR3503",5,0.41
"94","AHS3120",5,0.39
"95","AHT0657",5,0.37
"96","AHU6941",5,0.38
"97","AHV3134",5,0.32
"98","AHW4791",5,0.31
