"envelope_ID","date","site_name","species","project_2025","project","age_class","burn_year_original","calluna_NiN_type","plant_nr","leaf_nr","leaf_age","sample","collection_time","paired_with","calluna_shoot_type","bulk_nr_leaves","wet_mass","leaf_thickness_1","leaf_thickness_2","leaf_thickness_3","stem_diameter_base","stem_diameter_mid","stem_diameter_tip","scanned","dry_mass","remark","calluna_NIN_type","unique_plantID","latitude_N","longitude_E","source_file","bulk_nr_leaf_area","leaf_area_sum","colltime","height_cm","bulk_nr_wet_mass","bulk_nr_thickness","bulk_nr_dry_mass","leaf_area","SLA","LDMC"
"ADK1104",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","3",1,"young","Bulk",15:10:00,"Hyd Trait",NA,5,0.00547,0.497,0.403,0.396,9.18,NA,NA,"yes",0.00184,NA,"BH","Mature_BH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.49,15:10:00,50,5,5,5,0.098,53.2608695652174,0.336380255941499
"ADL9066",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","3",2,"young","Bulk",15:10:00,"Hyd Trait",NA,5,0.00482,0.478,0.489,0.464,9.18,NA,NA,"yes",0.00206,NA,"BH","Mature_BH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.48,15:10:00,50,5,5,5,0.096,46.6019417475728,0.427385892116183
"ADM5239",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","3",3,"young","Bulk",15:10:00,"Hyd Trait",NA,5,0.0055,0.508,0.505,0.492,9.18,NA,NA,"yes",0.0018,NA,"BH","Mature_BH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.46,15:10:00,50,5,5,5,0.092,51.1111111111111,0.327272727272727
"ADN6552",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","3",4,"young","Bulk",15:10:00,"Hyd Trait",NA,5,0.00427,0.503,0.47,0.32,9.18,NA,NA,"yes",0.00176,NA,"BH","Mature_BH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.47,15:10:00,50,5,5,5,0.094,53.4090909090909,0.412177985948478
"ADO5765",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","3",5,"young","Bulk",15:10:00,"Hyd Trait",NA,5,0.00472,0.468,0.46,0.594,9.18,NA,NA,"yes",0.0018,NA,"BH","Mature_BH_3",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.42,15:10:00,50,5,5,5,0.084,46.6666666666667,0.38135593220339
"AEO8418",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","4",1,"young","Bulk",15:12:00,"Hyd Trait",NA,5,0.00343,0.624,0.514,0.49,NA,NA,NA,"yes",0.00152,"plant has not very many good leaves to choose from; leaf thickness by es","BH","Mature_BH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.43,15:12:00,40,5,5,5,0.086,56.578947368421,0.443148688046647
"AEP2902",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","4",2,"young","Bulk",15:12:00,"Hyd Trait",NA,5,0.00298,0.81,0.645,0.767,NA,NA,NA,"yes",0.00127,"plant has not very many good leaves to choose from ; leaf thickness by es","BH","Mature_BH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.43,15:12:00,40,5,5,5,0.086,67.7165354330709,0.426174496644295
"AEQ2637",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","4",3,"young","Bulk",15:12:00,"Hyd Trait",NA,5,0.00342,0.685,0.674,0.634,NA,NA,NA,"yes",0.00138,"plant has not very many good leaves to choose from ; leaf thickness by es","BH","Mature_BH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.42,15:12:00,40,5,5,5,0.084,60.8695652173913,0.403508771929825
"AER1617",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","4",4,"young","Bulk",15:12:00,"Hyd Trait",NA,5,0.00342,0.622,0.651,0.727,NA,NA,NA,"yes",0.00132,"plant has not very many good leaves to choose from ; leaf thickness by es","BH","Mature_BH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.34,15:12:00,40,5,5,5,0.068,51.5151515151515,0.385964912280702
"AES2892",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","4",5,"young","Bulk",15:12:00,"Hyd Trait",NA,5,0.00297,0.777,0.782,0.9,NA,NA,NA,"yes",0.00128,"plant has not very many good leaves to choose from ; leaf thickness by es","BH","Mature_BH_4",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.31,15:12:00,40,5,5,5,0.062,48.4375,0.430976430976431
"AFH2340",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","6",1,"young","Bulk",15:17:00,"Hyd Trait",NA,5,0.00295,0.391,0.281,0.29,NA,NA,NA,"yes",0.00126,NA,"BH","Mature_BH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1.csv",5,0.32,15:17:00,30,5,5,5,0.064,50.7936507936508,0.427118644067797
"AFG6691",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","6",2,"young","Bulk",15:17:00,"Hyd Trait",NA,5,0.00305,0.291,0.492,0.289,NA,NA,NA,"yes",0.00124,NA,"BH","Mature_BH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1.csv",5,0.35,15:17:00,30,5,5,5,0.07,56.4516129032258,0.40655737704918
"AFF0605",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","6",3,"young","Bulk",15:17:00,"Hyd Trait",NA,5,0.00386,0.513,0.265,0.375,NA,NA,NA,"yes",0.00132,NA,"BH","Mature_BH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1.csv",5,0.33,15:17:00,30,5,5,5,0.066,50,0.341968911917098
"AFD7600",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","6",4,"young","Bulk",15:17:00,"Hyd Trait",NA,5,0.00405,0.336,0.486,0.368,NA,NA,NA,"yes",0.00163,NA,"BH","Mature_BH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1.csv",5,0.41,15:17:00,30,5,5,5,0.082,50.3067484662577,0.402469135802469
"AFE6027",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","6",5,"young","Bulk",15:17:00,"Hyd Trait",NA,5,0.00373,0.382,0.311,0.424,NA,NA,NA,"yes",0.00146,NA,"BH","Mature_BH_6",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1.csv",5,0.39,15:17:00,30,5,5,5,0.078,53.4246575342466,0.39142091152815
"AGJ5782",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","7",1,"young","Bulk",15:21:00,"Hyd Trait",NA,5,0.0038,0.331,0.402,0.396,NA,NA,NA,"yes",0.00141,NA,"BH","Mature_BH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.38,15:21:00,38,5,5,5,0.076,53.9007092198582,0.371052631578947
"AGK2513",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","7",2,"young","Bulk",15:21:00,"Hyd Trait",NA,5,0.00409,0.398,0.273,0.358,NA,NA,NA,"yes",0.00137,NA,"BH","Mature_BH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.5,15:21:00,38,5,5,5,0.1,72.992700729927,0.334963325183374
"AGL2418",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","7",3,"young","Bulk",15:21:00,"Hyd Trait",NA,5,0.00396,0.391,0.328,0.33,NA,NA,NA,"yes",0.00146,NA,"BH","Mature_BH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.47,15:21:00,38,5,5,5,0.094,64.3835616438356,0.368686868686869
"AGM8698",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","7",4,"young","Bulk",15:21:00,"Hyd Trait",NA,5,0.00443,0.311,0.478,0.5,NA,NA,NA,"yes",0.00163,NA,"BH","Mature_BH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.44,15:21:00,38,5,5,5,0.088,53.9877300613497,0.367945823927765
"AGI0122",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","BH","7",5,"young","Bulk",15:21:00,"Hyd Trait",NA,5,0.00476,0.391,0.402,0.411,NA,NA,NA,"yes",0.00176,NA,"BH","Mature_BH_7",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R1_ScaledDifferently.csv",5,0.53,15:21:00,38,5,5,5,0.106,60.2272727272727,0.369747899159664
"ADP5848",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","1",1,"young","Bulk",14:30:00,"Hyd Trait",NA,5,0.00298,0.438,0.321,0.433,7.03,NA,NA,"yes",0.0011,NA,"FH","Mature_FH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.3,14:30:00,26,5,5,5,0.06,54.5454545454545,0.369127516778524
"ADQ9643",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","1",2,"young","Bulk",14:30:00,"Hyd Trait",NA,5,0.00322,0.465,0.311,0.501,7.03,NA,NA,"yes",0.00126,NA,"FH","Mature_FH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.33,14:30:00,26,5,5,5,0.066,52.3809523809524,0.391304347826087
"ADR7542",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","1",3,"young","Bulk",14:30:00,"Hyd Trait",NA,5,0.00306,0.341,0.303,0.353,7.03,NA,NA,"yes",0.00118,NA,"FH","Mature_FH_1",60.696599,5.097197,NA,5,NA,14:30:00,26,5,5,5,NA,NA,0.38562091503268
"ADS4128",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","1",4,"young","Bulk",14:30:00,"Hyd Trait",NA,5,0.00297,0.383,0.409,0.405,7.03,NA,NA,"yes",0.00114,NA,"FH","Mature_FH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.32,14:30:00,26,5,5,5,0.064,56.140350877193,0.383838383838384
"ADT3849",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","1",5,"young","Bulk",14:30:00,"Hyd Trait",NA,5,0.00266,0.379,0.311,0.4,7.03,NA,NA,"no",0.00096,NA,"FH","Mature_FH_1",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.3,14:30:00,26,5,5,5,0.06,62.5,0.360902255639098
"ADU2120",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","2",1,"young","Bulk",14:36:00,"Hyd Trait",NA,5,0.00387,0.378,0.424,0.421,9.27,NA,NA,"yes",0.00155,NA,"FH","Mature_FH_2",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.4,14:36:00,33,5,5,5,0.08,51.6129032258065,0.400516795865633
"ADV4723",2025-12-15,"Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Mature","1996","FH","2",2,"young","Bulk",14:36:00,"Hyd Trait",NA,5,0.00354,0.492,0.43,0.434,9.27,NA,NA,"yes",0.00154,NA,"FH","Mature_FH_2",60.696599,5.097197,"DURIN_Calluna_leaf_area_Hydraulics_R2.csv",5,0.37,14:36:00,33,5,5,5,0.074,48.0519480519481,0.435028248587571
